entity_head	relation	entity_tail
1500	10	13339
2065	3	8674
1532	3	13803
1396	3	11547
278	3	12322
1052	3	12135
2379	10	11027
2889	5	7174
1821	10	12610
2235	10	5322
1387	10	6896
451	10	13037
1619	10	3886
2189	1	8910
913	10	12310
1915	7	6796
1924	3	11654
368	10	11060
318	10	13188
2928	3	12717
2525	4	10494
2095	10	12946
675	10	12853
1885	3	10515
2917	3	12573
837	3	8874
1716	10	4624
2772	10	5354
830	10	12432
293	10	7994
408	10	12020
1161	10	8348
84	10	10766
2009	10	12843
1972	3	3832
280	10	13366
2960	1	3541
267	3	13340
513	3	5284
252	3	12376
2634	3	7921
722	10	10753
423	3	5059
1664	10	7783
689	10	13292
2150	10	10256
1666	3	4678
779	10	4518
2422	3	12137
1653	10	9985
2619	10	13028
2909	10	6118
873	3	12376
697	10	8024
2012	10	10261
2095	10	4519
468	10	13298
1918	10	7799
1319	3	6476
1234	10	4958
2312	4	7582
84	10	4377
2554	10	5557
212	10	10259
2858	10	4059
681	3	12135
198	10	6991
2444	10	13431
2190	3	12376
2111	4	12038
1643	10	7601
163	7	9308
2009	10	8942
1282	10	4658
159	10	8241
1026	10	11187
2508	10	10076
2102	10	5947
1994	4	13198
2589	5	7174
2833	10	4601
1357	3	12422
1686	1	6887
31	3	7934
2782	10	8118
1103	10	4625
1323	10	3256
124	10	6965
2806	10	11369
1993	10	12799
1887	10	8916
1978	1	5702
2707	4	3905
98	10	12480
1791	8	8120
2215	10	12440
2228	10	4581
2770	10	9104
2121	10	10213
2168	10	11212
1524	10	6911
1974	10	10864
636	3	6217
1208	10	5884
1169	1	4221
1445	3	11660
2761	10	4250
2354	10	7279
950	10	7440
1095	10	10347
1231	10	2984
367	10	8773
2144	3	7094
409	3	9713
2848	10	12319
2088	10	4238
1646	10	9881
2500	10	3242
1064	10	9357
2907	10	10470
871	10	4406
2958	10	12028
1479	3	10649
973	4	10196
1440	10	12101
2072	10	3646
768	10	5057
1171	10	10713
1183	10	6092
568	10	11279
29	10	8568
2652	3	8986
1801	10	10129
2572	10	11835
694	10	8916
1203	10	13609
1004	10	5480
1027	10	8899
2131	10	10141
1728	10	5354
2090	10	13054
2303	10	11619
2405	10	9521
2504	10	11374
2291	10	7879
2508	4	4402
1070	10	9442
1419	4	3676
1904	10	8524
2357	2	13794
1910	10	8887
1560	10	12759
2067	10	13596
2855	7	3466
2879	10	7671
2113	10	8545
1708	1	13133
2444	10	10966
2745	10	5042
477	8	10785
1738	10	11026
2876	3	8977
2010	10	10835
1319	10	5776
1048	10	7542
1023	10	9383
1738	10	5729
580	10	3635
2162	3	12988
2575	10	11551
2535	10	8513
887	4	7848
2769	10	8916
95	10	9824
468	4	8680
2741	10	9984
394	10	5055
2171	2	10244
1764	10	7799
1707	10	10900
2415	10	9314
100	10	3437
690	10	4130
1700	3	12632
379	10	9270
805	3	5462
1445	10	13257
967	10	9426
272	10	8024
931	10	8302
2969	10	8872
2534	10	7970
2348	10	11551
2321	10	8851
2319	10	4159
1977	10	12657
566	10	4461
375	10	10060
1393	2	13544
898	10	4825
339	10	5633
1610	10	4824
2146	10	11829
1757	4	5827
404	10	12814
79	10	10810
484	10	3440
2731	3	7934
38	3	6036
2012	10	10797
830	10	10182
789	10	7648
1479	3	11228
1896	3	12137
1583	3	11681
1666	3	12692
2371	10	12203
1368	10	9162
753	10	4581
2031	10	4844
2423	10	8059
1744	10	5710
2336	10	11493
2036	3	6225
1495	10	6096
2075	3	5058
581	3	13179
1379	10	11811
594	10	12848
874	3	8977
2128	10	4338
2767	10	9688
1738	6	3153
1131	10	5102
2077	10	5557
1219	10	3789
17	10	10491
906	10	6788
1644	6	12004
1775	10	13373
2379	2	4533
2949	2	9514
189	4	13773
1893	10	11947
1645	10	6118
466	10	5364
2617	10	8321
2957	10	12514
2259	10	10068
2769	1	4060
2952	10	4958
1266	10	10594
961	3	5841
1524	10	13230
2046	10	5570
1108	10	3169
2555	10	13710
365	10	13381
1756	3	4797
982	3	6798
1833	3	7934
2630	10	9186
261	10	10817
2576	10	9603
810	10	7134
1637	10	7506
463	3	5547
662	10	6100
2903	3	8808
1341	10	4752
1124	10	7783
2829	10	3260
925	10	10125
53	10	5500
2526	3	11479
2126	3	6295
175	0	8724
1666	3	4431
1554	10	8833
1149	0	8514
154	10	12107
762	10	5943
191	4	10471
757	10	12129
1505	3	8125
1387	10	12922
2454	10	7961
2282	3	13456
2565	3	7469
2011	10	5983
2007	8	8120
1270	10	12557
1889	10	4329
2238	10	13631
810	10	4325
646	10	3063
1701	10	5092
1378	10	8568
706	10	6995
109	10	4922
2244	10	3894
2712	10	5529
2342	10	10753
418	10	13649
2264	10	8524
2127	10	7500
2228	10	4632
2000	10	10786
2889	3	7934
1528	10	11874
77	10	9730
2113	3	5115
2333	10	10195
722	10	4487
316	10	8773
363	6	5488
638	10	12850
1262	10	12679
1886	3	9778
171	10	5714
2211	10	8782
1445	10	8413
929	4	9111
2132	10	4422
2433	10	5483
2500	10	3277
1982	10	12252
515	10	12213
152	3	13629
32	10	5768
2426	5	6673
1396	10	13758
284	10	11551
809	10	7352
599	10	11835
1297	10	11546
794	9	9082
1460	10	10902
1864	10	12940
575	1	3541
1188	10	12618
1934	3	13573
1089	3	7571
1549	10	12874
2282	4	6086
2029	10	3885
985	3	6414
1793	2	4827
515	3	12451
2650	10	8851
1322	10	13188
2434	3	12226
1234	10	6231
1589	10	10703
130	10	3405
2245	10	10195
2370	10	8867
2568	10	8059
1279	3	7934
1833	4	11177
138	3	12135
2767	10	4059
2523	10	5179
2623	10	11677
2135	10	12637
2142	3	12014
700	3	12553
1918	10	3626
2895	4	10363
2387	10	12481
491	10	9982
2445	3	5221
2423	10	9337
1141	10	7913
2715	10	4625
2382	3	12226
1734	10	11829
2774	3	5491
466	10	5710
2201	10	11259
75	10	9911
1386	10	13735
2892	4	3358
466	10	5570
2934	10	6074
2961	10	5943
2005	10	12066
1198	7	6381
284	0	5076
2843	10	12499
2468	4	8273
1312	10	4875
384	10	10726
2490	10	8568
1180	3	11660
1332	10	5531
984	4	5964
1335	3	10556
833	10	11878
1824	10	6972
919	4	2998
1619	3	6603
959	4	3745
1287	10	9520
795	4	10733
1665	10	9814
1424	10	10622
1830	10	11399
790	10	9923
2784	10	12697
2375	10	5481
588	10	10440
2694	3	9517
742	3	10121
1457	10	5776
751	10	4561
2243	10	8685
2805	3	3551
629	10	4514
280	10	13292
719	10	13318
2240	10	4908
1382	6	5368
2783	10	10909
1359	10	6731
2554	10	4578
313	10	7642
1439	3	7934
839	10	6055
1015	10	10100
418	4	5964
2845	3	12376
321	3	3471
209	10	9666
2306	10	6654
2499	3	4641
832	3	10343
1108	10	4648
1924	10	10953
2319	10	5874
1857	10	9878
1435	10	9549
1843	3	11991
1955	3	3569
1700	10	12447
2381	10	6731
568	10	3263
207	3	7934
2133	3	13095
682	10	6377
994	10	9107
2204	10	5131
1377	10	12597
1070	3	8342
1793	10	12691
53	10	12996
427	3	7934
2444	10	5856
1801	10	4610
1503	10	5833
201	10	3120
999	3	6476
1504	10	12922
1294	0	10915
997	10	9747
675	10	4775
555	10	6743
2481	10	13173
1900	10	11380
2684	10	5138
1149	10	11727
2051	3	6599
380	10	3416
590	10	12409
2580	10	5898
2948	10	10476
654	10	8714
242	10	6991
80	10	5764
1622	10	9426
422	10	8491
62	10	3956
2557	2	12206
382	4	12424
1452	10	10434
2269	10	8009
85	3	7999
1433	10	3267
2168	10	8516
283	10	5064
2739	10	5037
522	10	3650
918	10	10978
1301	10	13188
757	10	10795
2468	10	12079
1484	3	6685
2143	4	7848
1863	10	8247
1231	10	4059
626	10	12101
2937	3	10774
2785	3	7881
752	10	5664
2178	3	9517
987	4	11106
2903	3	3946
369	10	4387
30	10	4257
2041	10	13596
1704	3	10067
551	10	5261
544	10	3986
2576	10	5708
1257	10	11277
2200	10	5110
218	3	9230
1747	4	6406
2007	10	11784
2589	10	7638
1560	10	7133
10	10	8585
1049	10	7089
1888	3	8331
1344	10	6749
470	4	6010
1191	10	11256
2094	10	3258
2521	3	9196
1814	10	5557
902	10	12340
480	10	9758
2741	3	7934
1917	10	11989
253	3	3912
2961	10	7116
1070	10	9914
355	10	10745
817	4	12719
2817	1	9452
2225	10	10114
342	10	8923
2507	3	7934
2813	10	6522
2307	10	7860
1431	4	8796
48	10	13038
59	3	11984
1379	10	3339
58	10	5350
2382	10	10195
1810	7	5453
1589	10	11851
2127	10	4932
350	10	9426
342	10	7338
2261	10	5959
817	10	12585
355	10	6800
2015	10	11730
865	10	3475
1996	10	11276
825	10	9262
2775	10	5512
1151	10	6340
2422	3	12376
2969	10	13090
2895	10	5571
1739	10	11253
896	0	12606
1581	7	6482
1054	10	10045
1336	4	6010
2458	3	7554
2072	10	8118
2666	10	9666
2401	10	6749
1905	4	12535
2715	3	8767
420	3	13184
123	10	10167
493	1	6722
1687	10	8655
1921	3	6733
28	10	9840
966	10	11999
1857	10	10543
364	10	5483
258	3	5020
1727	10	7967
82	10	5201
1129	10	9357
627	10	5596
1970	3	7277
1274	10	11835
2074	10	4851
1972	10	8568
1048	10	10397
284	10	5173
693	10	11662
10	3	7934
826	10	4941
818	3	11660
1938	3	5260
2948	10	6670
989	3	11660
989	10	11264
1185	10	5238
267	10	11409
1147	10	3614
1240	10	12610
2847	3	10649
1920	10	9426
2337	10	3787
2880	3	5126
682	10	11530
634	1	11931
2572	10	12664
623	3	6339
1955	3	3946
187	0	3111
744	10	4962
615	10	3277
167	10	4507
1858	1	11970
351	10	12956
1161	10	5759
1737	3	8433
1686	10	12961
61	10	6970
604	3	13179
400	10	6146
2329	3	5841
94	10	8568
2421	10	10459
1440	10	10726
